================================================================================
意象统计总体信息
================================================================================

总词语数: 1,097,031
意象词语数: 185,149 (16.88%)
不同意象词语数: 45,899

================================================================================
所有意象词语频率排行（TOP 500）
================================================================================
排名    意象词语                 出现次数      
479   早晚                   50        
480   长年                   50        
481   界湖                   50        
482   梅                    50        
483   五代                   50        
484   桃李                   49        
485   日照                   49        
486   四海                   49        
487   一雨                   49        
488   南山                   49        
489   代谢                   49        
490   芳华                   49        
491   七日                   49        
492   东山                   49        
493   山僧                   49        
494   石门                   49        
495   轻云                   49        
496   锡                    49        
497   半天                   49        
498   下风                   49        
499   最高峰                  49        
500   重华                   49        

================================================================================
食物意象词语统计（TOP 300）
================================================================================
总词数: 8,944
不同词语数: 2,424

排名    意象词语                 出现次数      
----------------------------------------
1     黍                    719       
2     麦                    208       
3     麦收                   137       
4     四面                   133       
5     麦苗                   126       
6     葱                    116       
7     饼饵                   115       
8     米                    109       
9     茶                    99        
10    果然                   98        
11    酒                    95        
12    麦穗                   85        
13    椒                    79        
14    面                    76        
15    龙井                   72        
16    菜                    70        
17    面前                   69        
18    早稻                   69        
19    水面                   65        
20    收麦                   60        
21    麦秋                   60        
22    麦田                   59        
23    二麦                   58        
24    烹茶                   54        
25    果                    48        
26    菜畦                   43        
27    春麦                   42        
28    粥                    42        
29    稷                    42        
30    肉                    41        
31    迎面                   41        
32    豆                    38        
33    米价                   37        
34    米家                   36        
35    三面                   36        
36    稻                    35        
37    青葱                   33        
38    饼                    33        
39    别开生面                 33        
40    粟谷                   33        
41    问果                   33        
42    茏葱                   31        
43    冬麦                   30        
44    菜花                   29        
45    稻田                   29        
46    稻粱                   29        
47    当面                   28        
48    虽弗麦                  28        
49    拂面                   26        
50    面面                   26        
51    生面                   26        
52    果识                   25        
53    种麦                   24        
54    汤                    23        
55    对面                   23        
56    麦色                   23        
57    据坦椒                  23        
58    油云                   22        
59    崇椒                   22        
60    面呈                   22        
61    湖面                   22        
62    纵酒                   22        
63    粟                    21        
64    面目                   21        
65    油油                   21        
66    麦后                   21        
67    麦颖芃                  21        
68    麦庄                   21        
69    茶杯                   20        
70    油然                   20        
71    设果                   20        
72    镜面                   19        
73    面水                   19        
74    波面                   19        
75    高稻                   19        
76    看麦                   19        
77    麦芽                   19        
78    遥峰面                  19        
79    品茶                   19        
80    茶烟                   19        
81    葱岭                   18        
82    果园                   18        
83    培麦                   18        
84    葱景                   18        
85    麦浪                   17        
86    稻秧                   17        
87    含植稻                  17        
88    油麦                   17        
89    喜滋黍                  17        
90    陈俎豆绎                 17        
91    绿若油                  17        
92    陇麦                   16        
93    麦苏禾                  16        
94    开生面                  16        
95    酒楼                   16        
96    露麦针                  16        
97    秋麦                   15        
98    饭                    15        
99    种稻                   15        
100   报麦                   15        
101   煮茶                   14        
102   金汤                   14        
103   麦禾                   14        
104   酒王                   14        
105   汤汤                   14        
106   人面                   14        
107   油                    14        
108   优二麦                  14        
109   麦塍接                  14        
110   糕                    13        
111   社稷                   13        
112   扑面                   13        
113   如油                   13        
114   黍芃                   13        
115   盐                    13        
116   真面目                  13        
117   葱郁                   13        
118   麦稔                   13        
119   一面                   13        
120   麦芃                   13        
121   南面                   12        
122   麦根                   12        
123   饮酒                   12        
124   面临                   12        
125   荞菜                   12        
126   菽                    12        
127   宿麦                   12        
128   作生面                  12        
129   以果                   12        
130   汤泉                   11        
131   菜色                   11        
132   因果                   11        
133   麦种                   11        
134   麦秀                   11        
135   面别                   11        
136   遥绿麦                  11        
137   资二麦                  11        
138   下崇椒                  11        
139   北麦                   11        
140   面墙                   11        
141   背面                   10        
142   菜圃                   10        
143   郁葱                   10        
144   葱翠                   10        
145   茶室                   10        
146   画面                   10        
147   盐官                   10        
148   中酒                   10        
149   焙茶                   10        
150   麦已                   10        
151   观麦                   10        
152   麦熟                   10        
153   高麦                   10        
154   麦畴                   9         
155   麦芒                   9         
156   果是                   9         
157   八面                   9         
158   山椒                   9         
159   华黍                   9         
160   酒浆                   9         
161   麦塍                   9         
162   黍稷                   9         
163   雨前茶                  9         
164   野麦                   9         
165   葱绿                   9         
166   果鉴                   9         
167   果作室                  9         
168   稻塍                   9         
169   漕米济                  9         
170   荞麦                   9         
171   茶炉                   9         
172   劳麦期                  9         
173   置酒                   8         
174   酒旗                   8         
175   粱                    8         
176   山果                   8         
177   金粟                   8         
178   麦愿移                  8         
179   面价                   8         
180   姜                    8         
181   果真                   8         
182   菜试                   8         
183   馒头                   8         
184   试茶                   8         
185   川菜                   8         
186   酒舫                   8         
187   山茶                   7         
188   无麦                   7         
189   散粟莫吝                 7         
190   菜蔬                   7         
191   稻苗                   7         
192   面对                   7         
193   金粟迟                  7         
194   粥饭                   7         
195   波罗蜜                  7         
196   稻畦                   7         
197   葱葱                   7         
198   茶舍                   7         
199   麦针                   7         
200   姿既葱菁                 7         
201   低麦                   7         
202   麦登秋际                 7         
203   惟茶                   7         
204   豆花                   6         
205   沽酒                   6         
206   菽粟                   6         
207   美酒                   6         
208   面壁                   6         
209   池面                   6         
210   醉酒                   6         
211   麦颗                   6         
212   日面                   6         
213   麦益佳微                 6         
214   沾麦                   6         
215   昨椒籁入                 6         
216   果因                   6         
217   贼果                   6         
218   酒兴                   6         
219   后稷                   6         
220   山米                   6         
221   宜麦                   6         
222   粟粒                   6         
223   背山面水                 6         
224   麦望                   6         
225   粳稻                   6         
226   以麦                   6         
227   欣宿麦                  6         
228   蜜蜂                   6         
229   麦如                   6         
230   问余愁果                 6         
231   豆秧                   6         
232   张面                   6         
233   金粟色                  6         
234   葱者                   6         
235   麦本                   5         
236   果腹                   5         
237   绿麦                   5         
238   面势                   5         
239   酌酒                   5         
240   春酒                   5         
241   二麦芃                  5         
242   面陈                   5         
243   香稻                   5         
244   一饭                   5         
245   瓜饼                   5         
246   饘粥                   5         
247   油绿                   5         
248   葱茜                   5         
249   碧螺                   5         
250   如果                   5         
251   果见                   5         
252   一麦                   5         
253   无安肉                  5         
254   前面                   5         
255   获麦                   5         
256   见果                   5         
257   乞浆得酒                 5         
258   汤盘                   5         
259   北面                   5         
260   属十麦                  5         
261   面迎                   5         
262   若果                   5         
263   以米                   5         
264   优暨麦                  5         
265   黑米                   5         
266   足果                   5         
267   达寅稷                  5         
268   登麦                   5         
269   数米                   5         
270   麦青                   5         
271   神果                   5         
272   功麦                   5         
273   惟若稻                  5         
274   粟布足                  5         
275   催麦                   5         
276   酒气                   5         
277   麦将                   5         
278   面溪堂                  5         
279   盐价                   5         
280   麦看                   5         
281   麦藏雉                  5         
282   麦庄桥                  5         
283   茶事盛                  5         
284   葱茜吐云                 5         
285   桃花人面                 4         
286   金粟胜霜                 4         
287   黍畴                   4         
288   茶香                   4         
289   盐梅                   4         
290   分茶                   4         
291   面饼                   4         
292   麦难                   4         
293   充黍                   4         
294   稻下蔚                  4         
295   荞菜欣                  4         
296   食肉                   4         
297   陈俎豆                  4         
298   溪面                   4         
299   陇麦芃                  4         
300   麦有                   4         

================================================================================
自然景物意象词语统计（TOP 300）
================================================================================
总词数: 113,028
不同词语数: 29,719

排名    意象词语                 出现次数      
----------------------------------------
1     月                    1615      
2     雨                    1322      
3     云                    1062      
4     日                    1046      
5     山庄                   603       
6     今日                   540       
7     风                    460       
8     山                    432       
9     水                    431       
10    雪                    409       
11    江南                   366       
12    天                    316       
13    白云                   277       
14    春雨                   276       
15    花                    276       
16    西山                   267       
17    山水                   263       
18    树                    261       
19    假山                   261       
20    峰                    260       
21    春风                   257       
22    溪                    246       
23    天然                   228       
24    香山                   225       
25    松                    218       
26    风流                   206       
27    细雨                   197       
28    东风                   196       
29    竹                    196       
30    泉                    188       
31    天恩                   188       
32    山房                   187       
33    柳                    186       
34    林                    185       
35    石                    182       
36    山色                   180       
37    风吹                   172       
38    木兰                   169       
39    石桥                   166       
40    春水                   166       
41    西湖                   162       
42    秋风                   158       
43    芙蓉                   154       
44    天地                   153       
45    昨日                   151       
46    流泉                   150       
47    山阴                   150       
48    三日                   150       
49    玉泉                   145       
50    山中                   144       
51    岭                    142       
52    当日                   141       
53    夜雨                   141       
54    叶                    140       
55    山田                   139       
56    三月                   135       
57    夕阳                   134       
58    五日                   134       
59    一天                   134       
60    微风                   134       
61    岁月                   133       
62    一日                   132       
63    池                    132       
64    秋月                   131       
65    六月                   130       
66    十日                   129       
67    云林                   129       
68    远山                   127       
69    游山                   127       
70    青莲                   127       
71    枝                    126       
72    数日                   125       
73    青山                   125       
74    草                    124       
75    天下                   122       
76    古树                   122       
77    河南                   122       
78    湖                    122       
79    名山                   120       
80    昔日                   117       
81    风光                   115       
82    石渠                   114       
83    半月                   114       
84    临水                   114       
85    秋水                   111       
86    积雪                   111       
87    谷                    110       
88    高峰                   108       
89    草堂                   108       
90    清风                   107       
91    波                    106       
92    崖                    106       
93    草木                   106       
94    飞泉                   106       
95    绿柳                   105       
96    微雨                   105       
97    一枝                   103       
98    烟波                   102       
99    云云                   102       
100   风月                   101       
101   月色                   101       
102   波光                   101       
103   千峰                   101       
104   壑                    99        
105   云散                   99        
106   临池                   98        
107   苍松                   98        
108   枝头                   98        
109   山川                   98        
110   山容                   97        
111   一月                   95        
112   平湖                   95        
113   云霞                   94        
114   弥月                   94        
115   阵雨                   93        
116   二月                   92        
117   山村                   92        
118   林下                   92        
119   流水                   91        
120   柳丝                   91        
121   惠山                   91        
122   绿树                   90        
123   明日                   90        
124   河                    90        
125   日日                   90        
126   五月                   89        
127   松下                   89        
128   风物                   89        
129   薰风                   88        
130   桃花                   88        
131   石泉                   88        
132   天花                   88        
133   云山                   87        
134   民风                   87        
135   松柏                   87        
136   池上                   86        
137   岩                    86        
138   杨                    85        
139   金风                   85        
140   西风                   85        
141   江山                   85        
142   如云                   84        
143   风前                   84        
144   天子                   84        
145   溪堂                   84        
146   孤山                   83        
147   西北风                  83        
148   风雨                   83        
149   绿叶                   83        
150   花木                   82        
151   泉石                   82        
152   荷叶                   82        
153   湖光                   81        
154   雨后                   81        
155   指日                   81        
156   云烟                   79        
157   李                    78        
158   木                    78        
159   日月                   78        
160   天池                   77        
161   松阴                   76        
162   几枝                   76        
163   烟雨                   76        
164   烟花                   75        
165   莲花                   75        
166   湖心                   75        
167   云中                   74        
168   千林                   73        
169   碧水                   73        
170   山居                   72        
171   天籁                   72        
172   天边                   72        
173   春日                   72        
174   绿水                   72        
175   湖水                   71        
176   两日                   71        
177   谷口                   71        
178   石壁                   71        
179   雨丝                   70        
180   虽云                   70        
181   此日                   70        
182   峰头                   70        
183   云气                   69        
184   山堂                   69        
185   风来                   68        
186   水田                   68        
187   波澜                   68        
188   溪流                   68        
189   壁                    68        
190   梅花                   68        
191   兰亭                   67        
192   翠柏                   67        
193   风度                   67        
194   水流                   67        
195   沧桑                   66        
196   峰顶                   66        
197   天成                   66        
198   终日                   66        
199   水面                   65        
200   山亭                   65        
201   银河                   65        
202   金山                   65        
203   荷                    65        
204   玉河                   65        
205   露珠                   64        
206   天龙                   64        
207   西岭                   64        
208   香风                   64        
209   古松                   64        
210   春云                   64        
211   沧浪                   63        
212   盘山                   63        
213   落叶                   63        
214   水态                   63        
215   山云                   63        
216   房山                   63        
217   密云                   62        
218   红叶                   62        
219   碧波                   62        
220   山泉                   62        
221   山巅                   62        
222   沟壑                   61        
223   临风                   61        
224   山光                   61        
225   雨足                   61        
226   花红                   61        
227   柳色                   61        
228   天上                   60        
229   长河                   60        
230   山花                   60        
231   青云                   59        
232   天佑                   59        
233   麦田                   59        
234   水阁                   59        
235   积水                   59        
236   园林                   58        
237   几日                   58        
238   冬雪                   58        
239   双峰                   58        
240   液池                   58        
241   下河                   58        
242   农桑                   57        
243   河北                   57        
244   轻风                   57        
245   月镜                   56        
246   甘雨                   56        
247   溪水                   56        
248   前日                   56        
249   山西                   56        
250   同日                   56        
251   运河                   56        
252   腊雪                   55        
253   白石                   55        
254   溪亭                   55        
255   山林                   55        
256   黄花                   55        
257   石湖                   55        
258   红桃                   55        
259   开花                   55        
260   山斋                   55        
261   叠石                   54        
262   山楼                   54        
263   天宇                   53        
264   荷花                   53        
265   丹枫                   53        
266   湖山                   53        
267   山鸟                   53        
268   高树                   53        
269   横岭                   53        
270   万寿山                  52        
271   八月                   52        
272   水晶                   52        
273   山阳                   52        
274   石矶                   52        
275   万峰                   52        
276   三山                   52        
277   天际                   52        
278   山雨                   52        
279   大岭                   52        
280   凉风                   51        
281   月光                   51        
282   七月                   51        
283   风景                   51        
284   溪边                   51        
285   雨过                   51        
286   一峰                   51        
287   石洞                   51        
288   竹炉                   51        
289   海棠                   50        
290   雨雪                   50        
291   崇山                   50        
292   界湖                   50        
293   梅                    50        
294   桃李                   49        
295   日照                   49        
296   四海                   49        
297   一雨                   49        
298   南山                   49        
299   七日                   49        
300   东山                   49        

================================================================================
贵物意象词语统计（TOP 300）
================================================================================
总词数: 19,051
不同词语数: 6,883

排名    意象词语                 出现次数      
----------------------------------------
1     翠                    318       
2     画                    290       
3     玉                    285       
4     金                    245       
5     玉泉                   145       
6     珠                    140       
7     画图                   136       
8     银                    109       
9     铜                    109       
10    南华                   106       
11    万宝                   102       
12    美                    102       
13    琉璃                   100       
14    画意                   97        
15    翠微                   91        
16    贵                    89        
17    金风                   85        
18    入画                   82        
19    金川                   77        
20    图画                   76        
21    画家                   69        
22    画舫                   68        
23    翠柏                   67        
24    银河                   65        
25    金山                   65        
26    玉河                   65        
27    露珠                   64        
28    玉食                   62        
29    韶华                   61        
30    翠色                   59        
31    黄金                   54        
32    华滋                   53        
33    芳华                   49        
34    锡                    49        
35    重华                   49        
36    鼎                    48        
37    珍                    47        
38    玉壶                   47        
39    华                    46        
40    丽                    45        
41    琼华                   44        
42    陶                    44        
43    书画                   40        
44    玉局                   39        
45    宝                    38        
46    画里                   38        
47    富贵                   38        
48    珠帘                   37        
49    珠光                   37        
50    玉露                   37        
51    玉为                   36        
52    珊瑚                   35        
53    物华                   35        
54    金源                   35        
55    七宝                   34        
56    金石                   34        
57    白玉                   34        
58    玉山                   34        
59    金莲                   33        
60    金行                   33        
61    金碧                   33        
62    金陵                   33        
63    金官                   33        
64    叠翠                   33        
65    美景                   32        
66    丽日                   32        
67    玉屑                   31        
68    画屏                   31        
69    金明                   31        
70    和阗玉                  30        
71    苍翠                   30        
72    如玉                   30        
73    翡翠                   30        
74    铅华                   29        
75    月华                   29        
76    法宝                   29        
77    金刚                   28        
78    玉树                   28        
79    明珠                   28        
80    筹画                   28        
81    翠影入                  28        
82    玉女                   27        
83    清华                   27        
84    刻画                   27        
85    珍重                   26        
86    九华                   26        
87    琥珀                   26        
88    玉蟾                   26        
89    银瓶                   26        
90    活画                   26        
91    翠岩                   26        
92    珍什袭                  26        
93    玉花                   25        
94    金丝                   24        
95    金乌                   24        
96    贵贱                   24        
97    玉兰                   24        
98    佳丽                   24        
99    驻翠                   23        
100   夏木翠                  23        
101   羁玉                   23        
102   金风玉露                 22        
103   珠玉                   22        
104   如画                   22        
105   千金                   22        
106   玉盘                   22        
107   银烛                   22        
108   玉同                   22        
109   银沙                   22        
110   翠华                   22        
111   登宝于                  22        
112   似金萱                  22        
113   铁                    21        
114   春华                   21        
115   画笔                   21        
116   华子冈                  21        
117   玉宇                   20        
118   金瓯                   20        
119   画卷                   20        
120   金门                   20        
121   画院                   20        
122   金仙                   20        
123   玉泉山                  20        
124   延席珍                  20        
125   画丽文轩                 20        
126   画法                   19        
127   京华                   19        
128   玉堂                   19        
129   玉质                   19        
130   露华                   19        
131   大宝                   19        
132   金波                   19        
133   瓷碗                   19        
134   歌玉塞                  19        
135   金元                   19        
136   琢玉                   19        
137   翠玉                   19        
138   展画                   18        
139   华表                   18        
140   银汉                   18        
141   积翠                   18        
142   陶冶                   18        
143   银花                   18        
144   华明                   18        
145   翠锁                   18        
146   拂露华                  18        
147   东华                   18        
148   竹鼎                   18        
149   致金军                  18        
150   玉版                   17        
151   银絮万壑                 17        
152   画展                   17        
153   玉润                   17        
154   金丸                   17        
155   鼎中                   17        
156   银牌                   17        
157   舆晓发玉                 17        
158   红玛瑙                  17        
159   锁翠烟                  17        
160   金堤                   16        
161   金屋                   16        
162   玉砌                   16        
163   玉屏                   16        
164   法华                   16        
165   风华                   16        
166   华林                   16        
167   画师                   16        
168   画者                   16        
169   华镫                   16        
170   浮玉                   16        
171   玉梅                   16        
172   宗苍画                  16        
173   胜国贻玉                 16        
174   华照                   16        
175   软摇金                  16        
176   成吟屑玉                 16        
177   文华                   15        
178   金秋                   15        
179   金声                   15        
180   画禅                   15        
181   翠管                   15        
182   美玉                   15        
183   翠竹                   15        
184   铁锁                   15        
185   流丽                   15        
186   土华                   15        
187   万玉                   15        
188   掩画                   15        
189   吴画实                  15        
190   陶氏                   15        
191   金鳌玉                  15        
192   年华                   14        
193   玉带                   14        
194   日丽                   14        
195   金汤                   14        
196   遥瞻翠岭                 14        
197   金轮                   14        
198   光华                   14        
199   英华                   14        
200   玉帛                   14        
201   阑珊                   14        
202   画水                   14        
203   汞                    14        
204   贵得                   14        
205   贵弗留                  14        
206   秧翠欲流                 14        
207   金钱                   13        
208   中华                   13        
209   繁华                   13        
210   金根                   13        
211   陶潜                   13        
212   珠玑                   13        
213   铜雀                   13        
214   珠露                   13        
215   玉井                   13        
216   银为                   13        
217   玉峰                   13        
218   美善                   13        
219   诗画                   13        
220   玛瑙                   13        
221   美不胜收                 13        
222   玉人                   13        
223   银竹                   13        
224   经陶                   13        
225   孰珍                   13        
226   铜锁                   13        
227   铁坚                   13        
228   柴瓷                   13        
229   玉镜                   12        
230   古鼎                   12        
231   华屋                   12        
232   画情                   12        
233   生翠                   12        
234   翠峰                   12        
235   华新                   12        
236   宝露                   12        
237   金炉                   12        
238   金色                   12        
239   画趣                   12        
240   回美土                  12        
241   玉垒                   12        
242   美哉岩                  12        
243   异珠擎                  12        
244   周陶                   12        
245   衬银瑶                  12        
246   尘净玉                  12        
247   教丽瞩赏                 12        
248   翠开                   12        
249   银丝                   11        
250   郁金                   11        
251   玉漏                   11        
252   藻丽                   11        
253   陶家                   11        
254   三宝                   11        
255   盖玉峰                  11        
256   铁骑                   11        
257   金玉                   11        
258   所贵                   11        
259   宝殿                   11        
260   玉笋                   11        
261   富丽                   11        
262   信美                   11        
263   铜铸                   11        
264   银瀑                   11        
265   画画                   11        
266   玉塞                   11        
267   玉雕                   11        
268   画中人                  11        
269   滴翠                   11        
270   宋玉风                  11        
271   支振美                  11        
272   云兴玉                  11        
273   美喜                   11        
